column 1,column 2,column 3,column 4
500,0.47213,0.322736,0.24937
1000,1.84937,1.27232,0.970109
1500,4.14007,2.79705,2.12991
2000,7.58525,5.0562,3.80403
2500,11.7466,7.87378,5.88376
3000,16.8165,11.2076,8.51051
3500,22.6071,15.139,11.4094
4000,29.2789,19.6542,15.3583
4500,37.9791,25.4099,18.9282
5000,45.9046,30.7797,23.1678
5500,57.0525,37.9255,28.4114
6000,67.412,44.7569,33.7276
6500,79.1012,52.8345,39.6065
7000,91.6472,60.9705,45.9004
7500,105.573,70.5089,53.1796
8000,117.593,78.0919,58.7019
8500,132.301,88.3868,66.719
9000,149.135,99.9407,75.2052
9500,167.131,111.785,84.2703
10000,187.567,125.418,94.2454
11000,227.682,150.939,113.109
12000,266.906,178.851,133.979
13000,312.276,207.076,156.179
14000,364.244,242.364,182.58
15000,417.69,292.293,226.603
16000,476.153,319.536,245.511
17000,534.561,370.692,290.052
18000,604.75,432.819,319.48
19000,668.531,486.037,334.984
20000,739.366,527.364,370.98
21000,810.073,589.081,408.041
22000,902.255,653.658,478.277
23000,981.526,654.44,491.991
24000,1062.51,709.282,532.552
25000,1153.05,853.721,580.011
26000,1260.24,840.928,630.95
27000,1352.33,980.864,747.444
28000,1456.84,971.502,731.616
29000,1558.61,1054.21,848.912
30000,1670.76,1174.89,836.116
31000,1764.98,1298.49,987.452
32000,1896.67,1326.09,948.578
33000,2018.95,1498.31,1074.96
34000,2145.56,1454.41,1076.11
35000,2278.18,1583.07,1138.57
36000,2404.49,1666.69,1391.06
37000,2536.19,1692.53,1394.96
38000,2666.66,1960.8,1342.51
39000,2813.45,1878,1411.8
40000,2985.67,2038.45,1487.8
45000,3741.09,2617.81,1879.61
50000,4642.32,3205,2325.94
55000,5617.83,3967.08,2969.06
60000,6678.6,4602.01,3541.54
65000,7833,5415.8,4047.96
70000,9113.34,6563.11,4843.05
75000,10393.3,7200.38,5663.29
80000,11887.6,8018.37,6249.07
85000,13408.9,9302.6,7330.77
90000,14965.2,10879.3,8164.34
95000,16778.8,11625.4,8970.44